YEAR;MONTH;FLIGHT_NUMBER;ORIGIN;DESTINATION;DURATION;DELAY
2011;2;5004;TBS;CGN;271;31
2013;7;5016;IST;BHX;75;0
2010;12;5005;CGN;MAD;115;5
2011;10;5022;MAN;GLA;224;14
2010;2;5009;LUX;TGD;104;4
2013;9;5006;MAD;BCN;114;29
2010;4;5005;CGN;MAD;134;24
2011;12;5024;SXF;CDG;79;-1
2010;11;5001;MPL;null;120;0
2011;8;5017;BHX;JER;89;24
2011;9;5012;BGO;OSL;182;32
2012;2;5001;MPL;BVA;145;25
2010;6;5006;MAD;BCN;115;30
2011;9;5014;ACE;SVQ;36;-4
2011;5;5017;BHX;JER;91;26
2013;3;5017;BHX;JER;100;35
2013;2;5012;BGO;OSL;157;7
2010;5;5011;AMS;BGO;188;8
2010;3;5024;SXF;CDG;102;22
2013;4;5012;BGO;OSL;161;11
2010;11;5025;CDG;TXL;102;32
2010;3;5023;GLA;SXF;196;31
2010;9;5003;FMM;TBS;70;15
2011;5;5012;null;OSL;181;31
2010;3;5024;SXF;CDG;89;9
2013;12;5005;CGN;MAD;111;1
2011;5;5000;TIA;MPL;107;7
2013;10;5021;LTN;MAN;229;29
2010;12;5021;LTN;MAN;205;5
2013;6;5020;LPL;LTN;163;8
2012;4;5021;LTN;MAN;201;1
2010;4;5000;TIA;MPL;106;6
2012;12;5008;LPA;LUX;97;17
2012;10;5005;CGN;MAD;121;11
2010;6;5026;TXL;DUS;94;-6
2010;11;5017;BHX;JER;94;29
2011;11;5010;TGD;AMS;114;19
2010;4;5023;GLA;SXF;191;26
2013;3;5021;LTN;MAN;192;-8
2013;3;5013;OSL;ACE;196;26
2013;3;5017;BHX;JER;97;32
2010;10;5003;FMM;TBS;75;20
2010;9;5018;JER;LCY;153;18
2012;2;5001;MPL;BVA;141;21
2010;3;5001;MPL;BVA;122;2
2011;9;5010;TGD;AMS;114;19
2013;9;5018;JER;LCY;152;17
2012;8;5010;TGD;AMS;112;17
2011;9;5016;IST;BHX;65;-10
2010;8;5025;CDG;TXL;82;12
2013;5;5016;IST;BHX;90;15
2010;8;5008;LPA;LUX;72;-8
2012;9;5000;TIA;MPL;130;30
2010;4;5024;SXF;CDG;77;-3
2011;6;5011;AMS;BGO;175;-5
2013;8;5023;GLA;SXF;182;17
2012;7;5022;MAN;GLA;217;7
2012;7;5006;MAD;BCN;92;7
2013;2;5001;MPL;BVA;137;17
2010;5;5020;LPL;LTN;148;-7
2010;4;5024;SXF;CDG;90;10
2011;8;5022;MAN;GLA;207;-3
2012;11;5004;TBS;CGN;256;16
2012;7;5011;AMS;BGO;170;-10
2013;1;5017;BHX;JER;92;27
2013;5;5021;LTN;MAN;194;-6
2013;7;5021;LTN;MAN;199;-1
2012;10;5023;GLA;SXF;159;-6
2010;3;5019;LCY;LPL;133;3
2012;2;5019;LCY;LPL;159;29
2011;4;5024;SXF;CDG;100;20
2011;6;5019;LCY;LPL;122;-8
2010;6;5010;TGD;AMS;123;28
2012;8;5020;LPL;LTN;178;23
2013;10;5018;JER;LCY;165;30
2010;10;5007;BCN;LPA;102;32
2011;10;5010;TGD;AMS;109;14
2011;12;5006;MAD;BCN;82;-3
2012;2;5015;SVQ;IST;55;-5
2013;10;5006;MAD;BCN;92;7
2012;8;5008;LPA;LUX;73;-7
2013;3;5008;LPA;LUX;112;32
2011;7;5024;SXF;CDG;105;25
2011;10;5006;MAD;BCN;108;23
2013;3;5007;BCN;LPA;71;1
2011;6;5011;AMS;BGO;183;3
2013;4;5015;SVQ;IST;71;11
2011;2;5004;TBS;CGN;233;-7
2013;1;5026;TXL;DUS;90;-10
2011;11;5015;SVQ;IST;50;-10
2013;1;5000;TIA;MPL;92;-8
2011;10;5026;TXL;DUS;100;0
2012;1;5019;LCY;LPL;137;7
2010;4;5010;TGD;AMS;94;-1
2011;6;5010;TGD;AMS;119;24
2010;1;5023;GLA;SXF;173;8
2011;6;5001;MPL;BVA;136;16
2013;8;5023;GLA;SXF;155;-10
2011;3;5023;GLA;SXF;179;14
2012;2;5023;GLA;SXF;192;27
2013;7;5003;FMM;TBS;89;34
2011;7;5024;SXF;CDG;72;-8
2010;7;5010;TGD;AMS;121;26
2013;5;5018;JER;LCY;155;20
2011;6;5016;IST;BHX;68;-7
2013;7;5016;IST;BHX;84;9
2011;10;5009;LUX;TGD;101;1
2011;9;5024;SXF;CDG;84;4
2011;10;5002;BVA;FMM;105;15
2011;1;5014;ACE;SVQ;53;13
2012;9;5011;AMS;BGO;191;11
2012;4;5025;CDG;TXL;73;3
2012;12;5011;AMS;BGO;178;-2
2013;3;5024;null;CDG;110;30
2010;12;5001;MPL;BVA;133;13
2012;7;5008;LPA;LUX;71;-9
2011;5;5020;LPL;LTN;177;22
2010;9;5022;MAN;GLA;213;3
2011;10;5024;SXF;CDG;79;-1
2012;2;5016;IST;BHX;72;-3
2013;12;5010;TGD;AMS;90;-5
2010;12;5015;SVQ;IST;82;22
2013;7;5008;LPA;LUX;71;-9
2013;9;5010;TGD;AMS;117;22
2010;5;5004;TBS;CGN;253;13
2012;1;5001;MPL;BVA;135;15
2012;2;5020;LPL;LTN;188;33
2012;11;5008;LPA;LUX;95;15
2011;6;5009;LUX;TGD;105;5
2012;12;5008;LPA;LUX;101;21
2011;5;5007;BCN;LPA;103;33
2011;5;5016;IST;BHX;71;-4
2011;10;5010;TGD;AMS;127;32
2011;10;5000;TIA;MPL;123;23
2011;9;5003;FMM;TBS;72;17
2013;6;5022;MAN;GLA;234;24
2013;8;5004;TBS;CGN;275;35
2013;9;5004;TBS;CGN;244;4
2013;4;5020;LPL;LTN;156;1
2010;9;5014;ACE;SVQ;53;13
2010;11;5024;SXF;CDG;84;4
2013;11;5003;FMM;TBS;62;7
2011;6;5005;CGN;MAD;125;15
2010;8;5024;SXF;CDG;103;23
2012;4;5005;CGN;MAD;119;9
2012;6;5010;TGD;AMS;87;-8
2010;1;5002;BVA;FMM;115;25
2010;10;5017;BHX;JER;56;-9
2012;5;5009;LUX;TGD;113;13
2012;3;5003;FMM;TBS;74;19
2013;11;5001;MPL;BVA;120;0
2010;1;5001;MPL;BVA;138;18
2012;1;5014;ACE;SVQ;52;12
2012;8;5023;GLA;SXF;185;20
2010;12;5010;TGD;AMS;124;29
2013;11;5008;LPA;LUX;110;30
2011;5;5019;LCY;LPL;144;14
2010;3;5026;TXL;DUS;97;-3
2010;3;5008;LPA;LUX;83;3
2011;8;5009;LUX;TGD;101;1
2012;9;5005;CGN;MAD;145;35
2012;2;5001;MPL;BVA;130;10
2011;7;5000;TIA;MPL;131;31
2010;9;5010;TGD;AMS;123;28
2010;12;5019;LCY;LPL;127;-3
2010;10;5014;ACE;SVQ;69;29
2011;6;5020;LPL;LTN;174;19
2010;1;5002;BVA;FMM;83;-7
2013;8;5011;AMS;BGO;195;15
2013;7;5013;OSL;ACE;170;0
2011;10;5017;BHX;JER;72;7
2011;9;5001;MPL;BVA;154;34
2011;10;5026;TXL;DUS;92;-8
2011;4;5022;MAN;GLA;216;6
2013;10;5006;MAD;BCN;105;20
2013;7;5009;LUX;TGD;116;16
2011;7;5016;IST;BHX;102;27
2013;7;5004;TBS;CGN;235;-5
2012;10;5013;OSL;ACE;160;-10
2011;12;5017;BHX;JER;65;0
2010;1;5005;CGN;MAD;141;31
2013;7;5011;AMS;BGO;200;20
2011;4;5003;FMM;TBS;84;29
2013;11;5024;SXF;CDG;81;1
2012;4;5002;BVA;FMM;95;5
2011;5;5006;MAD;BCN;87;2
2013;4;5006;MAD;BCN;84;-1
2010;3;5024;null;CDG;86;6
2011;5;5011;AMS;BGO;181;1
2010;1;5008;LPA;LUX;104;24
2012;7;5005;CGN;MAD;119;9
2011;6;5019;LCY;LPL;127;-3
2010;1;5021;LTN;MAN;217;17
2013;5;5007;BCN;LPA;99;29
2011;4;5014;ACE;SVQ;70;30
2012;12;5009;LUX;TGD;119;19
2012;5;5016;IST;BHX;84;9
2011;12;5011;AMS;BGO;197;17
2013;10;5026;TXL;DUS;129;29
2013;5;5015;SVQ;null;62;2
2012;7;5016;IST;BHX;65;-10
2010;5;5015;SVQ;IST;91;31
2010;12;5004;TBS;CGN;270;30
2010;11;5010;TGD;AMS;91;-4
2013;1;5015;SVQ;IST;73;13
2010;1;5003;FMM;TBS;79;24
2010;10;5011;AMS;BGO;189;9
2011;1;5006;MAD;BCN;108;23
2011;12;5008;LPA;LUX;103;23
2012;6;5003;FMM;TBS;74;19
2013;9;5015;SVQ;IST;70;10
2010;10;5002;BVA;FMM;115;25
2012;10;5010;TGD;AMS;105;10
2013;9;5013;OSL;ACE;199;29
2011;7;5006;MAD;BCN;101;16
2013;3;5009;LUX;TGD;121;21
2012;4;5012;BGO;OSL;177;27
2012;7;5010;TGD;AMS;91;-4
2012;12;5002;BVA;FMM;110;20
2011;5;5006;MAD;BCN;85;0
2010;5;5006;MAD;BCN;76;-9
2010;3;5009;LUX;TGD;104;4
2010;1;5009;LUX;TGD;117;17
2011;11;5026;TXL;DUS;111;11
2013;6;5022;MAN;GLA;221;11
2012;1;5014;ACE;SVQ;42;2
2013;11;5013;OSL;ACE;180;10
2013;4;5009;LUX;TGD;122;22
2010;1;5005;CGN;MAD;109;-1
2010;4;5024;SXF;CDG;72;-8
2013;11;5014;ACE;SVQ;66;26
2012;11;5024;null;CDG;81;1
2012;1;5005;CGN;MAD;122;12
2011;12;5026;TXL;DUS;91;-9
2012;4;5025;CDG;TXL;80;10
2011;1;5021;LTN;MAN;235;35
2011;5;5020;LPL;LTN;167;12
2010;11;5011;AMS;BGO;179;-1
2011;2;5013;OSL;ACE;172;2
2011;2;5025;CDG;TXL;65;-5
2012;5;5009;LUX;TGD;118;18
2011;4;5003;FMM;TBS;50;-5
2013;6;5021;LTN;MAN;230;30
2011;7;5019;LCY;LPL;149;19
2013;11;5013;OSL;ACE;202;32
2011;6;5009;LUX;TGD;100;0
2010;12;5022;MAN;GLA;235;25
2010;12;5014;ACE;SVQ;54;14
2010;7;5002;BVA;FMM;108;18
2010;11;5003;FMM;TBS;82;27
2012;6;5009;LUX;TGD;119;19
2011;5;5024;SXF;CDG;110;30
2011;4;5010;TGD;AMS;92;-3
2013;1;5012;BGO;OSL;162;12
2012;5;5002;BVA;FMM;119;29
2013;3;5019;LCY;LPL;133;3
2012;5;5006;MAD;BCN;75;-10
2011;11;5017;BHX;JER;75;10
2013;12;5009;LUX;TGD;130;30
2011;9;5001;MPL;BVA;141;21
2013;7;5004;TBS;CGN;272;32
2013;7;5008;LPA;LUX;89;9
2013;3;5018;JER;LCY;133;-2
2011;7;5009;LUX;TGD;90;-10
2012;6;5025;CDG;TXL;92;22
2012;1;5021;LTN;MAN;226;26
2011;8;5002;BVA;FMM;109;19
2013;10;5006;MAD;BCN;92;7
2011;10;5015;SVQ;IST;67;7
2012;4;5013;OSL;ACE;181;11
2010;11;5002;BVA;FMM;121;31
2013;12;5015;SVQ;IST;64;4
2013;3;5010;TGD;AMS;114;19
2011;12;5006;MAD;BCN;118;33
2011;10;5004;TBS;CGN;232;-8
2012;12;5014;ACE;SVQ;63;23
2011;9;5005;CGN;MAD;104;-6
2011;4;5002;BVA;FMM;117;27
2010;9;5017;BHX;JER;96;31
2010;11;5023;GLA;SXF;169;4
2010;11;5013;OSL;ACE;195;25
2012;6;5007;BCN;LPA;105;35
2011;7;5020;LPL;LTN;181;26
2012;9;5003;FMM;TBS;72;17
2010;6;5000;TIA;MPL;115;15
2013;10;5017;BHX;JER;72;7
2011;5;5004;TBS;CGN;256;16
2011;7;5020;LPL;LTN;190;35
2010;3;5004;TBS;CGN;252;12
2013;2;5019;LCY;LPL;126;-4
2010;11;5024;null;CDG;109;29
2012;8;5009;LUX;TGD;127;27
2012;6;5010;TGD;AMS;127;32
2010;5;5015;SVQ;null;69;9
2011;8;5024;SXF;CDG;98;18
2013;11;5011;AMS;BGO;177;-3
2012;5;5007;BCN;LPA;64;-6
2012;12;5017;BHX;JER;65;0
2012;8;5012;BGO;OSL;178;28
2012;6;5021;LTN;MAN;225;25
2010;9;5001;MPL;BVA;149;29
2011;7;5013;OSL;ACE;184;14
2011;9;5017;BHX;JER;60;-5
2011;2;5016;IST;BHX;73;-2
2011;6;5000;TIA;MPL;97;-3
2012;11;5008;LPA;LUX;77;-3
2011;3;5016;IST;BHX;71;-4
2013;5;5009;LUX;TGD;123;23
2010;12;5008;LPA;LUX;102;22
2011;10;5022;MAN;GLA;237;27
2012;2;5007;BCN;LPA;61;-9
2012;2;5009;LUX;TGD;105;5
2010;2;5023;GLA;SXF;196;31
2013;2;5010;TGD;AMS;116;21
2011;1;5007;BCN;LPA;66;-4
2013;11;5018;JER;LCY;165;30
2010;3;5005;CGN;MAD;140;30
2011;11;5017;BHX;JER;61;-4
2013;6;5025;CDG;TXL;93;23
2013;7;5010;TGD;AMS;108;13
2010;9;5011;AMS;BGO;192;12
2013;8;5011;AMS;BGO;206;26
2010;3;5022;MAN;GLA;221;11
2011;11;5026;TXL;DUS;133;33
2012;12;5004;TBS;CGN;257;17
2013;12;5013;OSL;ACE;202;32
2011;6;5007;BCN;LPA;72;2
2013;10;5006;MAD;BCN;80;-5
2010;12;5007;BCN;LPA;98;28
2012;3;5023;GLA;SXF;165;0
2013;9;5025;CDG;TXL;88;18
2010;2;5008;LPA;LUX;96;16
2011;3;5002;BVA;FMM;92;2
2013;12;5008;LPA;LUX;78;-2
2010;11;5008;LPA;LUX;107;27
2012;8;5004;TBS;CGN;269;29
2010;2;5012;BGO;OSL;148;-2
2010;11;5013;OSL;ACE;189;19
2010;7;5005;CGN;MAD;103;-7
2011;9;5008;LPA;LUX;78;-2
2010;10;5015;SVQ;IST;63;3
2012;10;5021;LTN;MAN;211;11
2013;3;5022;MAN;GLA;209;-1
2011;5;5008;LPA;LUX;113;33
2010;12;5019;LCY;LPL;133;3
2012;11;5005;CGN;MAD;123;13
2010;6;5001;MPL;BVA;155;35
2010;12;5020;LPL;LTN;188;33
2013;5;5006;MAD;BCN;120;35
2013;2;5003;FMM;TBS;47;-8
2012;1;5003;FMM;TBS;83;28
2012;4;5014;ACE;SVQ;55;15
2012;5;5006;MAD;BCN;92;7
2011;10;5024;SXF;CDG;115;35
2012;6;5003;FMM;TBS;64;9
2012;5;5025;CDG;TXL;91;21
2011;4;5017;BHX;JER;74;9
2011;11;5009;LUX;TGD;95;-5
2012;10;5002;BVA;FMM;85;-5
2010;11;5018;JER;LCY;152;17
2013;12;5022;MAN;GLA;231;21
2012;12;5006;MAD;BCN;108;23
2010;12;5000;TIA;MPL;118;18
2011;4;5006;MAD;BCN;89;4
2012;8;5013;OSL;ACE;174;4
2010;1;5026;TXL;DUS;92;-8
2013;8;5003;FMM;TBS;77;22
2011;1;5013;OSL;ACE;166;-4
2012;6;5016;IST;BHX;91;16
2011;1;5022;MAN;GLA;207;-3
2010;6;5004;TBS;CGN;232;-8
2011;10;5004;TBS;CGN;247;7
2012;5;5014;ACE;SVQ;45;5
2012;11;5017;BHX;JER;76;11
2011;4;5008;LPA;LUX;106;26
2010;1;5026;TXL;DUS;93;-7
2010;5;5010;TGD;AMS;85;-10
2012;9;5018;JER;LCY;154;19
2010;6;5001;MPL;BVA;126;6
2011;12;5007;BCN;LPA;96;26
2011;11;5019;LCY;LPL;160;30
2012;9;5026;TXL;DUS;110;10
2011;2;5021;LTN;MAN;219;19
2013;1;5006;MAD;BCN;102;17
2010;10;5024;SXF;CDG;115;35
2013;12;5024;SXF;CDG;80;0
2013;11;5021;LTN;MAN;235;35
2010;1;5007;BCN;LPA;102;32
2010;10;5004;TBS;CGN;235;-5
2011;9;5013;OSL;ACE;181;11
2011;8;5025;CDG;TXL;69;-1
2010;11;5009;LUX;TGD;100;0
2013;8;5013;OSL;ACE;201;31
2010;4;5021;LTN;MAN;203;3
2013;8;5026;TXL;DUS;132;32
2012;2;5024;SXF;CDG;111;31
2010;11;5001;MPL;BVA;136;16
2010;4;5023;GLA;SXF;158;-7
2011;11;5023;GLA;SXF;178;13
2013;11;5009;LUX;TGD;129;29
2012;4;5006;MAD;BCN;86;1
2013;2;5011;AMS;BGO;176;-4
2011;5;5012;BGO;OSL;152;2
2012;1;5004;TBS;CGN;261;21
2013;9;5011;AMS;BGO;209;29
2011;3;5019;LCY;LPL;128;-2
2012;10;5022;MAN;GLA;236;26
2012;9;5020;LPL;LTN;150;-5
2013;3;5016;IST;BHX;106;31
2013;2;5023;GLA;SXF;173;8
2011;8;5021;LTN;MAN;192;-8
2010;4;5022;MAN;GLA;220;10
2011;12;5011;AMS;BGO;209;29
2011;7;5021;LTN;MAN;210;10
2012;8;5021;LTN;MAN;225;25
2011;1;5016;IST;BHX;84;9
2011;2;5024;SXF;CDG;101;21
2013;6;5022;MAN;GLA;210;0
2013;5;5022;MAN;GLA;225;15
2010;3;5008;LPA;LUX;101;21
2010;9;5015;SVQ;IST;92;32
2012;1;5016;IST;BHX;74;-1
2013;5;5023;GLA;SXF;169;4
2013;2;5020;LPL;LTN;151;-4
2012;4;5013;OSL;ACE;161;-9
2013;9;5007;BCN;LPA;90;20
2010;8;5002;BVA;FMM;114;24
2010;4;5013;OSL;ACE;201;31
2012;7;5017;BHX;JER;65;0
2011;5;5021;LTN;MAN;211;11
2011;12;5024;null;CDG;94;14
2010;1;5019;LCY;LPL;151;21
2010;10;5007;BCN;LPA;68;-2
2011;12;5003;FMM;TBS;78;23
2011;10;5012;BGO;OSL;145;-5
2010;10;5024;SXF;CDG;91;11
2013;7;5023;GLA;SXF;157;-8
2010;9;5014;ACE;SVQ;38;-2
2011;4;5021;LTN;MAN;190;-10
2012;7;5025;CDG;TXL;79;9
2013;7;5015;SVQ;IST;86;26
2012;11;5025;CDG;TXL;82;12
2013;1;5007;BCN;LPA;65;-5
2011;5;5011;AMS;BGO;195;15
2010;3;5023;GLA;SXF;190;25
2013;3;5006;MAD;BCN;93;8
2012;6;5004;TBS;CGN;256;16
2013;7;5015;SVQ;IST;65;5
2012;3;5001;MPL;BVA;112;-8
2013;3;5013;OSL;ACE;189;19
2010;10;5011;AMS;BGO;173;-7
2011;6;5011;AMS;BGO;206;26
2011;6;5012;BGO;OSL;146;-4
2013;8;5026;TXL;DUS;95;-5
2012;9;5013;OSL;ACE;195;25
2013;4;5017;BHX;JER;96;31
2012;12;5007;BCN;LPA;64;-6
2012;5;5009;LUX;TGD;99;-1
2011;5;5002;BVA;FMM;107;17
2013;4;5016;IST;BHX;73;-2
2013;3;5005;CGN;MAD;103;-7
2011;7;5023;GLA;SXF;176;11
2010;3;5012;BGO;OSL;184;34
2013;11;5007;BCN;LPA;102;32
2010;7;5000;TIA;MPL;115;15
2013;11;5005;CGN;MAD;142;32
2013;4;5000;TIA;MPL;94;-6
2013;6;5014;ACE;SVQ;41;1
2010;9;5025;CDG;TXL;71;1
2011;9;5007;BCN;LPA;89;19
2013;4;5001;MPL;BVA;135;15
2012;2;5022;MAN;GLA;233;23
2013;5;5006;MAD;BCN;88;3
2012;4;5020;LPL;LTN;163;8
2010;4;5011;AMS;BGO;211;31
2011;5;5019;LCY;LPL;150;20
2013;2;5009;LUX;TGD;101;1
2011;9;5016;IST;BHX;99;24
2010;12;5021;LTN;MAN;190;-10
2011;1;5010;TGD;AMS;124;29
2012;11;5012;BGO;OSL;173;23
2013;9;5008;LPA;LUX;84;4
2011;10;5011;AMS;BGO;207;27
2011;7;5024;SXF;CDG;110;30
2011;9;5015;SVQ;IST;57;-3
2010;2;5004;TBS;CGN;248;8
2010;12;5024;SXF;CDG;92;12
2012;12;5020;LPL;LTN;178;23
2011;12;5022;MAN;GLA;210;0
2013;12;5012;BGO;OSL;185;35
2012;5;5019;LCY;LPL;144;14
2012;12;5002;BVA;FMM;109;19
2012;2;5012;BGO;OSL;157;7
2010;11;5000;TIA;MPL;135;35
2013;2;5016;IST;BHX;77;2
2011;7;5012;BGO;OSL;159;9
2012;5;5004;TBS;CGN;243;3
2010;6;5005;CGN;MAD;111;1
2010;7;5018;JER;LCY;151;16
2011;7;5005;CGN;MAD;104;-6
2010;8;5018;JER;LCY;126;-9
2013;3;5005;CGN;MAD;122;12
2010;12;5021;LTN;MAN;221;21
2012;3;5019;LCY;LPL;144;14
2010;1;5002;BVA;FMM;94;4
2011;1;5000;TIA;MPL;127;27
2012;7;5024;SXF;CDG;91;11
2012;2;5015;SVQ;IST;62;2
2010;3;5008;LPA;LUX;76;-4
2013;10;5012;BGO;OSL;182;32
2010;11;5000;TIA;MPL;102;2
2013;3;5007;BCN;LPA;73;3
2010;9;5024;SXF;CDG;81;1
2012;11;5018;JER;LCY;136;1
2011;10;5022;MAN;GLA;203;-7
2011;9;5026;TXL;DUS;124;24
2010;9;5024;SXF;CDG;80;0
2012;3;5012;BGO;OSL;183;33
2011;5;5024;SXF;CDG;105;25
2012;2;5004;TBS;CGN;231;-9
2013;8;5025;CDG;TXL;72;2
2011;10;5004;TBS;CGN;245;5
2013;12;5021;LTN;MAN;211;11
2012;7;5008;LPA;LUX;71;-9
2011;6;5024;SXF;CDG;101;21
2011;8;5026;TXL;DUS;92;-8
2011;3;5023;GLA;SXF;191;26
2010;12;5010;TGD;AMS;99;4
2013;4;5022;MAN;GLA;233;23
2013;3;5022;MAN;GLA;245;35
2012;12;5014;ACE;SVQ;60;20
2011;1;5005;CGN;MAD;132;22
2010;5;5024;SXF;CDG;84;4
2011;1;5003;FMM;TBS;62;7
2012;10;5004;TBS;CGN;234;-6
2010;9;5020;LPL;LTN;152;-3
2012;11;5018;JER;LCY;166;31
2012;8;5000;TIA;MPL;115;15
2011;9;5009;LUX;TGD;113;13
2010;3;5018;JER;LCY;154;19
2012;7;5015;SVQ;null;82;22
2010;12;5004;TBS;CGN;266;26
2010;1;5017;BHX;JER;96;31
2011;10;5000;TIA;MPL;131;31
2011;2;5005;CGN;MAD;137;27
2011;9;5017;BHX;JER;88;23
2012;11;5013;OSL;ACE;188;18
2011;10;5002;BVA;FMM;111;21
2013;4;5021;LTN;MAN;214;14
2012;9;5001;MPL;BVA;123;3
2012;7;5001;MPL;BVA;121;1
2010;4;5019;LCY;LPL;122;-8
2012;3;5001;MPL;BVA;116;-4
2010;2;5012;BGO;OSL;178;28
2012;7;5010;TGD;AMS;109;14
2013;11;5004;TBS;CGN;260;20
2013;7;5020;LPL;LTN;173;18
2012;2;5008;LPA;LUX;99;19
2012;9;5017;BHX;JER;72;7
2012;6;5001;MPL;BVA;123;3
2011;8;5005;CGN;MAD;124;14
2012;10;5010;TGD;AMS;94;-1
2011;3;5025;CDG;TXL;90;20
2010;11;5024;null;CDG;83;3
2011;3;5004;TBS;CGN;239;-1
2011;6;5008;LPA;LUX;101;21
2011;7;5010;TGD;AMS;109;14
2012;8;5008;LPA;LUX;77;-3
2012;9;5022;MAN;GLA;232;22
2011;5;5008;LPA;LUX;87;7
2012;9;5021;LTN;MAN;205;5
2013;6;5020;LPL;LTN;187;32
2010;11;5024;SXF;CDG;109;29
2011;5;5010;TGD;AMS;85;-10
2010;6;5012;BGO;OSL;162;12
2013;7;5011;AMS;BGO;211;31
2011;9;5010;TGD;AMS;123;28
2012;8;5024;SXF;CDG;114;34
2012;11;5013;OSL;ACE;184;14
2012;3;5002;BVA;FMM;118;28
2011;4;5016;IST;BHX;76;1
2013;12;5001;MPL;BVA;150;30
2010;12;5008;LPA;LUX;93;13
2013;12;5004;TBS;CGN;263;23
2010;7;5014;ACE;SVQ;72;32
2013;7;5010;TGD;AMS;106;11
2010;6;5018;JER;LCY;135;0
2013;7;5013;OSL;ACE;170;0
2011;1;5011;AMS;BGO;180;0
2013;3;5002;BVA;FMM;85;-5
2011;5;5004;TBS;CGN;273;33
2010;12;5017;BHX;JER;59;-6
2013;5;5020;LPL;LTN;155;0
2010;7;5011;AMS;BGO;173;-7
2010;11;5024;SXF;CDG;107;27
2010;12;5026;TXL;DUS;107;7
2010;1;5005;CGN;MAD;108;-2
2011;5;5018;JER;LCY;166;31
2010;7;5017;BHX;JER;85;20
2010;1;5017;BHX;JER;61;-4
2013;4;5023;GLA;SXF;200;35
2013;11;5011;AMS;BGO;182;2
2011;5;5017;BHX;JER;79;14
2011;4;5011;AMS;BGO;178;-2
2012;9;5024;SXF;CDG;72;-8
2013;5;5024;SXF;CDG;96;16
2010;1;5025;CDG;TXL;79;9
2012;2;5024;SXF;CDG;91;11
2010;1;5002;BVA;FMM;113;23
2010;3;5023;GLA;SXF;185;20
2011;1;5013;OSL;ACE;163;-7
2011;12;5012;BGO;OSL;150;0
2010;2;5008;LPA;LUX;93;13
2010;8;5008;LPA;LUX;83;3
2011;7;5007;BCN;LPA;93;23
2010;2;5002;BVA;FMM;92;2
2010;1;5008;LPA;LUX;86;6
2013;1;5024;SXF;CDG;107;27
2012;3;5024;null;CDG;101;21
2010;5;5015;SVQ;IST;54;-6
2010;12;5009;LUX;TGD;124;24
2010;7;5024;SXF;CDG;86;6
2010;9;5016;IST;BHX;86;11
2011;10;5003;FMM;TBS;53;-2
2011;12;5019;LCY;LPL;138;8
2013;7;5021;LTN;MAN;206;6
2013;6;5011;AMS;BGO;183;3
2010;11;5010;TGD;AMS;124;29
2013;11;5009;LUX;TGD;130;30
2013;8;5021;LTN;MAN;197;-3
2010;7;5016;IST;BHX;65;-10
2012;10;5015;SVQ;IST;69;9
2010;2;5010;TGD;AMS;118;23
2011;4;5015;SVQ;IST;76;16
2010;10;5006;MAD;BCN;110;25
2013;8;5025;CDG;TXL;104;34
2011;6;5007;BCN;LPA;74;4
2010;1;5001;MPL;BVA;143;23
2013;10;5010;TGD;AMS;85;-10
2010;3;5010;TGD;AMS;125;30
2011;9;5023;GLA;SXF;161;-4
2013;1;5014;ACE;SVQ;75;35
2012;1;5001;MPL;BVA;118;-2
2010;4;5000;TIA;MPL;103;3
2011;11;5013;OSL;ACE;187;17
2010;3;5008;LPA;LUX;81;1
2010;5;5023;GLA;SXF;170;5
2013;6;5016;IST;BHX;99;24
2013;8;5011;AMS;BGO;198;18
2012;10;5021;LTN;MAN;222;22
2012;7;5000;TIA;MPL;113;13
2013;2;5003;FMM;TBS;62;7
2013;9;5006;MAD;BCN;79;-6
2013;8;5018;JER;LCY;168;33
2011;6;5004;TBS;CGN;253;13
2011;11;5004;TBS;CGN;237;-3
2012;5;5017;BHX;JER;82;17
2010;1;5017;BHX;JER;56;-9
2010;12;5003;FMM;TBS;73;18
2012;12;5025;CDG;TXL;82;12
2012;7;5019;LCY;LPL;147;17
2012;1;5002;BVA;FMM;88;-2
2010;5;5013;OSL;ACE;198;28
2012;7;5009;LUX;TGD;128;28
2011;1;5017;BHX;JER;84;19
2013;10;5026;TXL;DUS;118;18
2013;6;5002;BVA;FMM;115;25
2013;10;5008;LPA;LUX;77;-3
2011;9;5014;ACE;SVQ;68;28
2011;12;5008;LPA;LUX;97;17
2013;5;5010;TGD;AMS;125;30
2012;2;5002;BVA;FMM;114;24
2012;6;5016;IST;BHX;100;25
2010;4;5019;LCY;LPL;136;6
2013;7;5025;CDG;TXL;82;12
2010;9;5004;TBS;CGN;266;26
2012;10;5010;TGD;AMS;100;5
2013;8;5017;BHX;JER;62;-3
2010;10;5013;OSL;ACE;168;-2
2013;11;5007;BCN;LPA;75;5
2013;2;5020;LPL;LTN;167;12
2011;2;5013;OSL;ACE;179;9
2011;2;5006;MAD;BCN;79;-6
2013;5;5012;BGO;OSL;147;-3
2011;5;5021;LTN;MAN;210;10
2012;12;5021;LTN;MAN;199;-1
2013;2;5002;BVA;FMM;111;21
2011;3;5000;TIA;MPL;135;35
2012;12;5009;LUX;TGD;98;-2
2011;8;5001;MPL;BVA;136;16
2013;3;5007;BCN;LPA;74;4
2011;6;5015;SVQ;IST;89;29
2011;12;5006;MAD;BCN;98;13
